"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"485","Phoenix, AZ","Las Vegas, NV","Blue",62,"Male",2,2005,5,-0.6667,"Personal Travel",0,30,30,"Eco",11,"1/11/14","WN","Cheapseats Airlines Inc.","Nevada","Arizona",8,0,0,"No",42,255,6,-115.1672,36.1349,-111.97,33.4941,NA
"486","Phoenix, AZ","Washington, DC","Blue",15,"Male",2,2009,43,-0.7917,"Personal Travel",1,30,20,"Eco",13,"1/13/14","US","Southeast Airlines Co.","Virginia","Arizona",17,3,0,"No",271,1979,7,-77.1897,38.8974,-111.97,33.4941,NA
"487","New Orleans, LA","Atlanta, GA","Gold",40,"Male",1,2012,21,-0.3125,"Business travel",2,0,125,"Eco",26,"3/26/14","DL","Sigma Airlines Inc.","Georgia","Louisiana",15,0,0,"No",62,425,10,-84.3319,33.8241,-90.1437,29.9547,NA
"488","Dallas, TX","St. Louis, MO","Blue",17,"Male",1,2007,7,-0.4,"Personal Travel",1,0,90,"Eco",16,"1/16/14","WN","Cheapseats Airlines Inc.","Missouri","Texas",7,13,0,"No",83,546,5,-90.3409,38.6307,-96.972,32.8127,NA
"489","Detroit, MI","Chicago, IL","Blue",52,"Female",1,2009,27,-0.4595,"Business travel",0,40,90,"Eco",6,"2/6/14","DL","Sigma Airlines Inc.","Illinois","Michigan",16,8,13,"No",64,235,10,-87.8954,41.8271,-83.2276,42.49,NA
"490","Washington, DC","Indianapolis, IN","Blue",73,"Female",1,2009,31,-0.5897,"Personal Travel",0,120,90,"Eco",27,"1/27/14","EV","FlyFast Airways Inc.","Indiana","Virginia",9,0,0,"No",64,476,8,-86.1455,39.8113,-77.1897,38.8974,NA
"491","New York, NY","Atlanta, GA","Blue",57,"Male",2,2011,4,0.1111,"Business travel",0,0,30,"Eco",25,"3/25/14","DL","Sigma Airlines Inc.","Georgia","New York",6,0,0,"No",94,762,9,-84.3319,33.8241,-73.9702,40.7184,NA
"492","Kansas City, MO","Chicago, IL","Blue",37,"Female",2,2003,29,-0.6571,"Business travel",1,0,20,"Eco",1,"3/1/14","WN","Cheapseats Airlines Inc.","Illinois","Missouri",16,105,129,"No",72,405,9,-87.8954,41.8271,-94.5949,39.0398,NA
"493","Baltimore, MD","Atlanta, GA","Blue",38,"Female",2,2007,6,0.1429,"Personal Travel",1,8,125,"Eco",10,"1/10/14","WN","Cheapseats Airlines Inc.","Georgia","Maryland",14,34,36,"No",78,577,5,-84.3319,33.8241,-76.6478,39.2341,NA
"494","Gillette, WY","Rock Springs, WY","Silver",52,"Female",1,2011,20,-0.9048,"Personal Travel",0,0,15,"Eco Plus",24,"3/24/14","OO","Northwest Business Airlines Inc.","Wyoming","Wyoming",21,0,0,"No",53,261,6,-109.2408,41.5955,-105.484,44.2733,NA
"495","Las Vegas, NV","San Jose, CA","Blue",80,"Female",1,2003,32,-0.6842,"Personal Travel",0,120,90,"Eco",14,"3/14/14","WN","Cheapseats Airlines Inc.","California","Nevada",12,0,1,"No",62,386,8,-121.9451,37.3298,-115.1672,36.1349,NA
"496","Minneapolis, MN","Washington, DC","Blue",65,"Female",1,2008,15,-0.5789,"Personal Travel",0,38,45,"Eco",7,"1/7/14","DL","Sigma Airlines Inc.","Virginia","Minnesota",11,73,83,"No",152,931,4,-77.1897,38.8974,-93.2798,44.9782,NA
"497","New York, NY","Miami, FL","Blue",76,"Male",2,2010,20,-0.9048,"Business travel",0,90,30,"Eco",18,"3/18/14","DL","Sigma Airlines Inc.","Florida","New York",7,0,0,"No",144,1096,3,-80.2314,26.1756,-73.9702,40.7184,NA
"498","Detroit, MI","Salt Lake City, UT","Blue",51,"Male",1,2004,10,-0.25,"Business travel",0,0,105,"Eco",25,"1/25/14","DL","Sigma Airlines Inc.","Utah","Michigan",9,0,0,"No",183,1481,10,-111.9295,40.6408,-83.2276,42.49,NA
"499","New York, NY","Atlanta, GA","Blue",52,"Female",1,2011,0,1,"Personal Travel",1,135,150,"Eco",15,"3/15/14","MQ","EnjoyFlying Air Services","Georgia","New York",9,0,3,"No",121,762,7,-84.3319,33.8241,-73.9702,40.7184,NA
"500","Atlanta, GA","Buffalo, NY","Blue",25,"Female",1,2003,0,1,"Business travel",1,0,10,"Eco Plus",12,"2/12/14","DL","Sigma Airlines Inc.","New York","Georgia",17,NA,NA,"Yes",NA,712,8,-78.8237,42.9249,-84.3319,33.8241,NA
"501","Las Vegas, NV","Chicago, IL","Blue",72,"Female",2,2007,16,-0.28,"Personal Travel",0,20,50,"Eco",2,"1/2/14","AA","Paul Smith Airlines Inc.","Illinois","Nevada",13,90,140,"No",204,1514,4,-87.8954,41.8271,-115.1672,36.1349,NA
"502","Chicago, IL","Rochester, NY","Blue",49,"Female",1,2007,12,0.25,"Personal Travel",1,253,78,"Eco",21,"1/21/14","EV","FlyFast Airways Inc.","New York","Illinois",10,20,8,"No",82,528,1,-77.5682,43.1376,-87.8954,41.8271,NA
"503","Atlanta, GA","Asheville, NC","Silver",48,"Male",1,2010,12,0.1111,"Business travel",3,70,60,"Eco",4,"2/4/14","EV","FlyFast Airways Inc.","North Carolina","Georgia",15,10,13,"No",45,164,7,-82.6642,35.5371,-84.3319,33.8241,NA
"504","San Antonio, TX","Dallas, TX","Blue",39,"Female",1,2007,9,0.1429,"Mileage tickets",2,38,60,"Eco Plus",18,"3/18/14","WN","Cheapseats Airlines Inc.","Texas","Texas",7,0,0,"No",43,248,9,-96.972,32.8127,-98.4754,29.5144,NA
"505","New Orleans, LA","Las Vegas, NV","Blue",43,"Male",1,2003,1,0.9167,"Business travel",2,0,15,"Eco",18,"1/18/14","WN","Cheapseats Airlines Inc.","Nevada","Louisiana",10,0,0,"No",172,1500,4,-115.1672,36.1349,-90.1437,29.9547,NA
"506","Charlotte, NC","Atlanta, GA","Blue",61,"Male",1,2006,73,-0.8718,"Business travel",0,0,0,"Eco",18,"2/18/14","DL","Sigma Airlines Inc.","Georgia","North Carolina",12,0,0,"No",38,226,8,-84.3319,33.8241,-80.8158,35.2497,NA
"507","Richmond, VA","Boston, MA","Blue",31,"Female",1,2006,10,-0.1765,"Business travel",2,0,30,"Business",13,"1/13/14","B6","OnlyJets Airlines Inc.","Massachusetts","Virginia",6,0,0,"No",83,474,9,-71.1407,42.3731,-77.488,37.4779,NA
"508","San Francisco, CA","Portland, OR","Blue",48,"Female",1,2003,17,-0.3077,"Business travel",0,45,50,"Eco",9,"3/9/14","OO","Northwest Business Airlines Inc.","Oregon","California",9,0,0,"No",95,550,7,-122.6511,45.5204,-122.1585,37.6712,NA
"509","Seattle, WA","Phoenix, AZ","Blue",49,"Male",1,2003,12,-0.1429,"Business travel",1,0,60,"Eco",10,"1/10/14","US","Southeast Airlines Co.","Arizona","Washington",11,4,13,"No",173,1107,10,-111.97,33.4941,-122.2747,47.4684,NA
"510","Fairbanks, AK","Anchorage, AK","Blue",40,"Male",2,2012,40,-0.6327,"Business travel",1,60,40,"Eco",22,"1/22/14","AS","FlyToSun Airlines Inc.","Alaska","Alaska",14,0,0,"No",38,261,9,-149.8472,61.1679,-147.7057,64.802,NA
"511","Bakersfield, CA","San Francisco, CA","Blue",42,"Male",0,2005,13,0.037,"Business travel",2,0,60,"Eco",25,"1/25/14","OO","Northwest Business Airlines Inc.","California","California",16,0,7,"No",66,238,10,-122.1585,37.6712,-119.0306,35.3623,NA
"512","Detroit, MI","Atlanta, GA","Platinum",72,"Female",1,2008,14,-0.1667,"Business travel",0,50,70,"Eco Plus",20,"3/20/14","DL","Sigma Airlines Inc.","Georgia","Michigan",13,15,7,"No",83,594,4,-84.3319,33.8241,-83.2276,42.49,NA
"513","Las Vegas, NV","Seattle, WA","Blue",65,"Female",3,2003,18,-0.5652,"Personal Travel",0,0,60,"Eco",17,"1/17/14","WN","Cheapseats Airlines Inc.","Washington","Nevada",8,247,240,"No",114,867,5,-122.2747,47.4684,-115.1672,36.1349,NA
"514","Orlando, FL","Denver, CO","Silver",55,"Female",2,2007,18,-0.8947,"Business travel",0,30,40,"Eco",5,"2/5/14","F9","GoingNorth Airlines Inc.","Colorado","Florida",8,0,13,"No",177,1546,10,-104.9551,39.7108,-81.4112,28.5844,NA
"515","Minneapolis, MN","Portland, OR","Blue",79,"Female",2,2003,17,-0.7,"Personal Travel",0,0,25,"Eco",8,"3/8/14","DL","Sigma Airlines Inc.","Oregon","Minnesota",23,0,0,"No",163,1426,3,-122.6511,45.5204,-93.2798,44.9782,NA
"516","Atlanta, GA","Tampa, FL","Blue",45,"Female",4,2008,0,1,"Personal Travel",1,0,0,"Eco",13,"3/13/14","FL","FlyHere Airways","Florida","Georgia",8,0,7,"No",74,406,1,-82.5132,28.0062,-84.3319,33.8241,NA
"517","Phoenix, AZ","Atlanta, GA","Platinum",44,"Female",1,2011,9,0.561,"Business travel",2,100,90,"Eco",2,"3/2/14","DL","Sigma Airlines Inc.","Georgia","Arizona",16,0,7,"No",233,1587,10,-84.3319,33.8241,-111.97,33.4941,NA
"518","Los Angeles, CA","Phoenix, AZ","Gold",66,"Male",1,2006,23,-0.84,"Personal Travel",0,0,105,"Eco",10,"3/10/14","WN","Cheapseats Airlines Inc.","Arizona","California",21,54,48,"No",63,370,5,-111.97,33.4941,-118.1043,33.9827,NA
"519","Las Vegas, NV","Philadelphia, PA","Silver",85,"Male",1,2005,44,-0.6604,"Personal Travel",0,30,200,"Eco",17,"3/17/14","US","Southeast Airlines Co.","Pennsylvania","Nevada",20,133,123,"No",300,2176,6,-75.2984,39.9733,-115.1672,36.1349,NA
"520","Boston, MA","Orlando, FL","Blue",63,"Female",1,2006,29,-0.8125,"Mileage tickets",0,0,65,"Eco Plus",13,"2/13/14","B6","OnlyJets Airlines Inc.","Florida","Massachusetts",13,42,47,"No",138,1121,7,-81.4112,28.5844,-71.1407,42.3731,NA
"521","Madison, WI","Chicago, IL","Blue",70,"Female",1,2003,17,-0.8889,"Business travel",1,0,0,"Eco",20,"3/20/14","EV","FlyFast Airways Inc.","Illinois","Wisconsin",9,2,0,"No",25,108,5,-87.8954,41.8271,-89.4299,43.0874,NA
"522","Chicago, IL","Kansas City, MO","Blue",41,"Female",2,2005,2,0.7333,"Business travel",2,0,95,"Business",16,"3/16/14","WN","Cheapseats Airlines Inc.","Missouri","Illinois",11,6,7,"No",66,405,10,-94.5949,39.0398,-87.8954,41.8271,NA
"523","New York, NY","Houston, TX","Blue",30,"Female",2,2005,36,-0.6,"Business travel",1,0,90,"Eco",5,"3/5/14","WN","Cheapseats Airlines Inc.","Texas","New York",18,34,16,"No",168,1428,8,-95.3935,29.7843,-73.9702,40.7184,NA
"524","Houston, TX","Las Vegas, NV","Blue",34,"Male",2,2006,34,-0.9429,"Business travel",0,0,25,"Eco",24,"1/24/14","OU","Oursin Airlines Inc.","Nevada","Texas",13,0,0,"No",134,1222,9,-115.1672,36.1349,-95.3935,29.7843,NA
"525","Miami, FL","Chicago, IL","Gold",38,"Female",2,2005,17,-0.619,"Business travel",0,20,185,"Eco",20,"3/20/14","AA","Paul Smith Airlines Inc.","Illinois","Florida",19,0,0,"No",146,1197,9,-87.8954,41.8271,-80.2314,26.1756,NA
"526","Phoenix, AZ","Detroit, MI","Silver",46,"Male",1,2006,13,0.0714,"Business travel",2,0,30,"Business",29,"3/29/14","DL","Sigma Airlines Inc.","Michigan","Arizona",15,0,0,"No",217,1671,9,-83.2276,42.49,-111.97,33.4941,NA
"527","Akron, OH","Atlanta, GA","Blue",48,"Female",1,2012,18,-0.5,"Business travel",0,0,60,"Eco",26,"3/26/14","DL","Sigma Airlines Inc.","Georgia","Ohio",8,0,0,"No",80,528,10,-84.3319,33.8241,-81.4919,41.0662,NA
"528","Los Angeles, CA","San Jose, CA","Silver",41,"Male",2,2010,0,1,"Business travel",2,10,20,"Eco",15,"1/15/14","WN","Cheapseats Airlines Inc.","California","California",20,0,0,"No",51,308,6,-121.9451,37.3298,-118.1043,33.9827,NA
"529","Las Vegas, NV","Phoenix, AZ","Silver",27,"Female",1,2009,4,0.4667,"Mileage tickets",2,0,40,"Eco Plus",24,"2/24/14","WN","Cheapseats Airlines Inc.","Arizona","Nevada",11,8,6,"No",45,255,9,-111.97,33.4941,-115.1672,36.1349,NA
"530","New York, NY","Houston, TX","Silver",38,"Female",1,2009,8,0.2381,"Personal Travel",4,0,45,"Eco",1,"2/1/14","WN","Cheapseats Airlines Inc.","Texas","New York",13,10,0,"No",160,1428,7,-95.3935,29.7843,-73.9702,40.7184,NA
"531","Minneapolis, MN","Kansas City, MO","Silver",59,"Female",2,2004,8,-0.3333,"Business travel",0,151,85,"Eco",14,"3/14/14","WN","Cheapseats Airlines Inc.","Missouri","Minnesota",18,23,17,"No",59,393,9,-94.5949,39.0398,-93.2798,44.9782,NA
"532","Miami, FL","Seattle, WA","Blue",72,"Female",1,2003,14,-0.75,"Business travel",0,0,80,"Eco Plus",31,"1/31/14","AA","Paul Smith Airlines Inc.","Washington","Florida",22,20,17,"No",310,2724,10,-122.2747,47.4684,-80.2314,26.1756,NA
"533","Salt Lake City, UT","Casper, WY","Blue",69,"Male",1,2007,18,-0.3333,"Personal Travel",0,0,80,"Eco",14,"1/14/14","OO","Northwest Business Airlines Inc.","Wyoming","Utah",12,0,0,"No",56,320,4,-106.311,42.8624,-111.9295,40.6408,NA
"534","Houston, TX","Denver, CO","Gold",73,"Male",2,2007,13,-0.1304,"Personal Travel",0,0,40,"Eco",26,"3/26/14","F9","GoingNorth Airlines Inc.","Colorado","Texas",6,0,0,"No",113,862,4,-104.9551,39.7108,-95.3935,29.7843,NA
"535","Chicago, IL","Charlotte, NC","Blue",29,"Female",1,2007,3,0.4,"Business travel",0,95,90,"Eco Plus",21,"3/21/14","US","Southeast Airlines Co.","North Carolina","Illinois",3,0,0,"No",97,599,10,-80.8158,35.2497,-87.8954,41.8271,NA
"536","San Jose, CA","Seattle, WA","Silver",22,"Male",2,2005,55,-0.746,"Business travel",0,0,30,"Eco",16,"3/16/14","AS","FlyToSun Airlines Inc.","Washington","California",18,0,0,"No",108,697,9,-122.2747,47.4684,-121.9451,37.3298,NA
"537","San Francisco, CA","Seattle, WA","Gold",46,"Male",1,2004,31,-0.7222,"Personal Travel",0,30,60,"Eco",27,"3/27/14","AS","FlyToSun Airlines Inc.","Washington","California",10,1,0,"No",98,679,4,-122.2747,47.4684,-122.1585,37.6712,NA
"538","Sacramento, CA","Denver, CO","Blue",46,"Female",2,2003,10,-0.1111,"Personal Travel",0,10,40,"Eco",30,"1/30/14","OO","Northwest Business Airlines Inc.","Colorado","California",7,4,25,"No",164,909,4,-104.9551,39.7108,-121.3247,38.6386,NA
"539","Charlotte, NC","Boston, MA","Blue",33,"Female",2,2003,25,-0.8519,"Business travel",1,120,60,"Eco",17,"3/17/14","US","Southeast Airlines Co.","Massachusetts","North Carolina",17,5,11,"No",131,728,9,-71.1407,42.3731,-80.8158,35.2497,NA
"540","Austin, TX","Los Angeles, CA","Silver",46,"Female",2,2009,25,-0.8519,"Personal Travel",1,0,20,"Eco",18,"3/18/14","OO","Northwest Business Airlines Inc.","California","Texas",20,0,0,"No",143,1242,8,-118.1043,33.9827,-97.7615,30.3585,NA
"541","Seattle, WA","Anchorage, AK","Blue",36,"Female",2,2011,18,-0.6364,"Business travel",0,120,120,"Eco",21,"1/21/14","AS","FlyToSun Airlines Inc.","Alaska","Washington",3,0,0,"No",188,1448,9,-149.8472,61.1679,-122.2747,47.4684,NA
"542","San Antonio, TX","Philadelphia, PA","Platinum",27,"Male",1,2003,0,1,"Business travel",0,66,120,"Eco",6,"2/6/14","US","Southeast Airlines Co.","Pennsylvania","Texas",17,0,15,"No",256,1496,9,-75.2984,39.9733,-98.4754,29.5144,NA
"543","Fort Wayne, IN","Chicago, IL","Blue",68,"Female",2,2003,38,-0.6522,"Personal Travel",0,0,90,"Business",17,"1/17/14","OO","Northwest Business Airlines Inc.","Illinois","Indiana",13,0,0,"No",33,157,8,-87.8954,41.8271,-85.1389,41.1004,NA
"544","Columbia, SC","Atlanta, GA","Gold",46,"Female",1,2008,6,0.6923,"Business travel",2,30,45,"Eco",22,"1/22/14","EV","FlyFast Airways Inc.","Georgia","South Carolina",16,0,0,"No",31,192,9,-84.3319,33.8241,-81.0772,34.0362,NA
"545","Washington, DC","Indianapolis, IN","Blue",73,"Male",1,2007,30,-0.6667,"Personal Travel",0,0,150,"Eco",6,"2/6/14","OO","Northwest Business Airlines Inc.","Indiana","Virginia",14,17,11,"No",67,476,4,-86.1455,39.8113,-77.1897,38.8974,NA
"546","Fayetteville, AR","Los Angeles, CA","Blue",48,"Male",2,2004,30,-0.5789,"Business travel",0,0,25,"Eco",28,"1/28/14","MQ","EnjoyFlying Air Services","California","Arkansas",12,0,4,"No",157,1371,4,-118.1043,33.9827,-94.1798,36.2674,NA
"547","Washington, DC","Colorado Springs, CO","Blue",53,"Female",2,2004,36,-0.8947,"Mileage tickets",4,85,90,"Eco",25,"1/25/14","OO","Northwest Business Airlines Inc.","Colorado","Virginia",10,0,0,"No",180,1463,10,-104.7706,38.873,-77.1897,38.8974,NA
"548","Denver, CO","Atlanta, GA","Blue",21,"Male",2,2007,10,-0.8182,"Business travel",0,0,60,"Eco",31,"3/31/14","DL","Sigma Airlines Inc.","Georgia","Colorado",14,6,0,"No",165,1199,9,-84.3319,33.8241,-104.9551,39.7108,NA
"549","Lihue, HI","Los Angeles, CA","Blue",17,"Male",2,2011,37,-0.8049,"Mileage tickets",1,0,30,"Business",13,"3/13/14","AA","Paul Smith Airlines Inc.","California","Hawaii",17,0,0,"No",327,2615,8,-118.1043,33.9827,-159.3617,21.9758,NA
"550","Memphis, TN","Houston, TX","Blue",18,"Male",1,2004,26,-0.7931,"Business travel",2,0,145,"Eco",17,"3/17/14","EV","FlyFast Airways Inc.","Texas","Tennessee",14,6,8,"No",71,468,4,-95.3935,29.7843,-89.9179,35.0951,NA
"551","Chicago, IL","St. Louis, MO","Blue",28,"Female",1,2003,8,-0.3333,"Business travel",0,0,50,"Eco",7,"3/7/14","WN","Cheapseats Airlines Inc.","Missouri","Illinois",15,0,0,"No",43,251,9,-90.3409,38.6307,-87.8954,41.8271,NA
"552","Denver, CO","Chicago, IL","Blue",65,"Male",1,2009,50,-0.7241,"Personal Travel",0,60,20,"Eco",12,"1/12/14","OU","Oursin Airlines Inc.","Illinois","Colorado",12,17,11,"No",135,888,1,-87.8954,41.8271,-104.9551,39.7108,NA
"553","Pittsburgh, PA","Philadelphia, PA","Blue",52,"Female",1,2008,19,-0.5833,"Business travel",0,0,80,"Eco Plus",3,"2/3/14","US","Southeast Airlines Co.","Pennsylvania","Pennsylvania",16,0,8,"No",54,268,8,-75.2984,39.9733,-79.951,40.457,NA
"554","Phoenix, AZ","Reno, NV","Blue",38,"Female",1,2010,9,-0.8,"Business travel",0,5,20,"Business",12,"1/12/14","US","Southeast Airlines Co.","Nevada","Arizona",9,0,0,"No",79,601,6,-119.7959,39.5326,-111.97,33.4941,NA
"555","San Diego, CA","Phoenix, AZ","Gold",79,"Female",1,2003,25,-0.7241,"Personal Travel",0,0,195,"Eco Plus",22,"1/22/14","WN","Cheapseats Airlines Inc.","Arizona","California",21,15,0,"No",48,304,6,-111.97,33.4941,-117.1288,32.9287,NA
"556","Cleveland, OH","Chicago, IL","Silver",27,"Male",2,2008,2,0.5,"Business travel",0,10,105,"Eco",13,"3/13/14","WN","Cheapseats Airlines Inc.","Illinois","Ohio",9,15,12,"No",51,307,10,-87.8954,41.8271,-81.6054,41.4436,NA
"557","Washington, DC","San Antonio, TX","Silver",46,"Male",1,2003,11,0.45,"Business travel",2,0,225,"Eco",24,"3/24/14","OO","Northwest Business Airlines Inc.","Texas","Virginia",17,1,0,"No",156,1362,8,-98.4754,29.5144,-77.1897,38.8974,NA
"558","Los Angeles, CA","Phoenix, AZ","Silver",34,"Male",2,2006,14,0.1515,"Business travel",1,150,120,"Eco",6,"2/6/14","OO","Northwest Business Airlines Inc.","Arizona","California",6,0,3,"No",69,370,10,-111.97,33.4941,-118.1043,33.9827,NA
"559","South Bend, IN","Atlanta, GA","Blue",30,"Female",1,2006,5,0.7727,"Business travel",2,0,90,"Eco",27,"2/27/14","OO","Northwest Business Airlines Inc.","Georgia","Indiana",14,0,0,"No",89,566,10,-84.3319,33.8241,-86.2017,41.7144,NA
"560","Milwaukee, WI","New York, NY","Blue",42,"Male",2,2003,5,-0.1111,"Business travel",1,60,30,"Eco",10,"2/10/14","WN","Cheapseats Airlines Inc.","New York","Wisconsin",6,0,9,"No",119,738,6,-73.9702,40.7184,-88.1005,43.0557,NA
"561","Chicago, IL","New York, NY","Blue",26,"Female",0,2008,11,-0.5714,"Business travel",0,25,30,"Eco",20,"2/20/14","AA","Paul Smith Airlines Inc.","New York","Illinois",17,219,213,"No",133,740,7,-73.9702,40.7184,-87.8954,41.8271,NA
"562","Atlanta, GA","Austin, TX","Blue",40,"Male",2,2011,0,1,"Mileage tickets",2,0,120,"Eco",27,"1/27/14","DL","Sigma Airlines Inc.","Texas","Georgia",10,0,0,"No",90,813,8,-97.7615,30.3585,-84.3319,33.8241,NA
"563","Minneapolis, MN","New York, NY","Blue",46,"Female",1,2004,52,-0.8246,"Business travel",1,0,60,"Eco",16,"2/16/14","DL","Sigma Airlines Inc.","New York","Minnesota",10,1,0,"No",154,1020,7,-73.9702,40.7184,-93.2798,44.9782,NA
"564","Bakersfield, CA","Phoenix, AZ","Blue",69,"Female",1,2009,28,-0.75,"Personal Travel",0,270,160,"Eco",18,"3/18/14","OO","Northwest Business Airlines Inc.","Arizona","California",20,0,0,"No",66,425,4,-111.97,33.4941,-119.0306,35.3623,NA
"565","New York, NY","Detroit, MI","Blue",35,"Male",1,2012,13,-0.3684,"Business travel",4,0,45,"Eco",20,"2/20/14","MQ","EnjoyFlying Air Services","Michigan","New York",13,13,53,"No",69,502,7,-83.2276,42.49,-73.9702,40.7184,NA
"566","Las Vegas, NV","Los Angeles, CA","Blue",26,"Female",0,2003,3,0.7,"Business travel",3,0,15,"Eco",12,"2/12/14","WN","Cheapseats Airlines Inc.","California","Nevada",13,0,0,"No",46,236,9,-118.1043,33.9827,-115.1672,36.1349,NA
"567","Las Vegas, NV","San Francisco, CA","Blue",85,"Male",2,2007,14,-0.75,"Personal Travel",0,0,95,"Eco Plus",19,"3/19/14","WN","Cheapseats Airlines Inc.","California","Nevada",16,27,20,"No",65,414,5,-122.1585,37.6712,-115.1672,36.1349,NA
"568","San Diego, CA","Phoenix, AZ","Blue",42,"Female",0,2012,24,-0.7143,"Business travel",0,120,40,"Business",1,"2/1/14","WN","Cheapseats Airlines Inc.","Arizona","California",15,53,43,"No",49,304,9,-111.97,33.4941,-117.1288,32.9287,NA
"569","Atlanta, GA","San Antonio, TX","Blue",80,"Female",2,2004,31,-0.7222,"Personal Travel",0,0,35,"Eco Plus",16,"2/16/14","DL","Sigma Airlines Inc.","Texas","Georgia",17,0,0,"No",106,874,1,-98.4754,29.5144,-84.3319,33.8241,NA
"570","Miami, FL","Tampa, FL","Blue",49,"Female",1,2008,45,-0.7647,"Business travel",0,45,30,"Eco",26,"2/26/14","AA","Paul Smith Airlines Inc.","Florida","Florida",17,0,0,"No",44,204,9,-82.5132,28.0062,-80.2314,26.1756,NA
"571","Albuquerque, NM","Atlanta, GA","Blue",16,"Male",1,2005,6,0.0769,"Personal Travel",1,180,120,"Eco",25,"3/25/14","DL","Sigma Airlines Inc.","Georgia","New Mexico",19,1,0,"No",175,1269,8,-84.3319,33.8241,-106.6281,35.1434,NA
"572","Salt Lake City, UT","Albuquerque, NM","Blue",80,"Female",1,2004,46,-0.7037,"Personal Travel",0,0,45,"Eco Plus",28,"2/28/14","OO","Northwest Business Airlines Inc.","New Mexico","Utah",18,49,38,"No",76,493,4,-106.6281,35.1434,-111.9295,40.6408,NA
"573","Phoenix, AZ","Orlando, FL","Blue",51,"Male",1,2007,14,0,"Business travel",1,15,75,"Eco",3,"3/3/14","US","Southeast Airlines Co.","Florida","Arizona",17,2,0,"No",257,1849,8,-81.4112,28.5844,-111.97,33.4941,NA
"574","San Diego, CA","San Antonio, TX","Blue",36,"Male",2,2008,0,1,"Business travel",3,0,640,"Eco",19,"2/19/14","WN","Cheapseats Airlines Inc.","Texas","California",12,0,0,"No",163,1129,7,-98.4754,29.5144,-117.1288,32.9287,NA
"575","New York, NY","Pittsburgh, PA","Blue",74,"Female",1,2006,42,-0.8261,"Personal Travel",0,0,20,"Eco",11,"2/11/14","EV","FlyFast Airways Inc.","Pennsylvania","New York",8,0,0,"No",52,335,3,-79.951,40.457,-73.9702,40.7184,NA
"576","Savannah, GA","Houston, TX","Blue",39,"Female",1,2007,19,-0.8095,"Business travel",3,0,25,"Eco",15,"1/15/14","EV","FlyFast Airways Inc.","Texas","Georgia",8,3,0,"No",99,851,4,-95.3935,29.7843,-81.1517,32.0449,NA
"577","Sacramento, CA","Phoenix, AZ","Blue",29,"Female",1,2003,8,0.5294,"Business travel",1,255,90,"Eco",3,"2/3/14","WN","Cheapseats Airlines Inc.","Arizona","California",6,0,0,"No",100,647,7,-111.97,33.4941,-121.3247,38.6386,NA
"578","Las Vegas, NV","Salt Lake City, UT","Silver",43,"Female",1,2012,3,0.1429,"Business travel",2,15,47,"Eco",25,"3/25/14","DL","Sigma Airlines Inc.","Utah","Nevada",15,0,0,"No",56,368,9,-111.9295,40.6408,-115.1672,36.1349,NA
"579","Atlanta, GA","Washington, DC","Blue",66,"Male",1,2008,59,-0.7879,"Personal Travel",0,0,136,"Eco",20,"1/20/14","EV","FlyFast Airways Inc.","Virginia","Georgia",12,0,0,"No",99,534,3,-77.1897,38.8974,-84.3319,33.8241,NA
"580","Charlotte, NC","Houston, TX","Silver",46,"Male",1,2003,19,0.1163,"Business travel",4,0,15,"Eco",22,"1/22/14","US","Southeast Airlines Co.","Texas","North Carolina",12,3,3,"No",114,912,8,-95.3935,29.7843,-80.8158,35.2497,NA
"581","Las Vegas, NV","Minneapolis, MN","Blue",27,"Female",1,2008,16,0.3191,"Business travel",1,0,170,"Eco",11,"3/11/14","DL","Sigma Airlines Inc.","Minnesota","Nevada",19,3,1,"No",169,1299,7,-93.2798,44.9782,-115.1672,36.1349,NA
"582","Boston, MA","New York, NY","Blue",58,"Female",2,2008,0,1,"Personal Travel",0,0,5,"Eco",2,"3/2/14","DL","Sigma Airlines Inc.","New York","Massachusetts",14,1,0,"No",31,187,6,-73.9702,40.7184,-71.1407,42.3731,NA
"583","Atlanta, GA","Orlando, FL","Blue",39,"Female",2,2008,13,-0.5294,"Business travel",2,0,75,"Business",21,"1/21/14","DL","Sigma Airlines Inc.","Florida","Georgia",7,0,0,"No",64,404,7,-81.4112,28.5844,-84.3319,33.8241,NA
"584","Los Angeles, CA","Las Vegas, NV","Silver",65,"Female",1,2007,46,-0.7692,"Personal Travel",0,0,50,"Eco",1,"3/1/14","DL","Sigma Airlines Inc.","Nevada","California",6,27,24,"No",43,236,7,-115.1672,36.1349,-118.1043,33.9827,NA
"585","Las Vegas, NV","Sacramento, CA","Silver",62,"Male",1,2009,28,-0.697,"Personal Travel",0,0,0,"Eco",18,"2/18/14","WN","Cheapseats Airlines Inc.","California","Nevada",21,42,40,"No",56,397,6,-121.3247,38.6386,-115.1672,36.1349,NA
